Artist,Title,ArtistGenre,CoverType,Year,spotify,bandcamp,soundcloud,youtube
Dreadful Shadows,1959,Unspecified,Metal,2021,1,0,0,1
Mac,1959,Unspecified,Straight,2020,0,0,0,1
Mad Shad,1959,Unspecified,Acoustic,2011,0,0,0,1
madsmith,1959,Unspecified,Alternative,2016,0,0,0,1
Maryann Giselle Alienfairy,1959,Unspecified,Straight,2020,0,0,0,1
Rhee Diculous,1959,Unspecified,Straight,2018,0,0,0,1
Richie Santoro,1959,Unspecified,Straight,2019,0,0,0,1
Tony Santucci,1959,Unspecified,Straight,2017,0,0,0,1
Wojtek Tokarz,1959,Unspecified,Alternative,2017,0,0,0,1
Botchandango,1959,Goth,Straight,2012,0,0,1,0
Marek Krukowski,1959,Unspecified,Alternative,2014,0,0,1,0
metallordgeneral,1959,Unspecified,Straight,2020,0,0,1,0
Mj Moonbow Aka Tinman,1959,Ambient,Electronic,2018,0,0,1,0
Nmacog,1959,Goth,Straight,2012,0,0,1,0
The Court Of Sybaris,A Rock And A Hard Place,Unspecified,Straight,2014,1,1,1,1
Cursed Moon,A Rock And A Hard Place,Metal,Straight,2017,0,0,0,1
Temple of Mercy,A Rock And A Hard Place,Unspecified,Straight,2020,0,0,0,1
The Sisters of Murphy,A Rock And A Hard Place,Goth,Straight,2015,0,0,0,1
Some Happy Medium,A Rock And A Hard Place,Goth,Straight,2020,0,1,0,0
Lymon Willis,Adrenochrome,Unspecified,Acoustic,2016,0,0,0,1
Brad Salyn,Adrenochrome,Unspecified,Straight,2019,0,0,1,0
Julius Seizure,Adrenochrome,Post Punk,Straight,2021,0,0,1,0
Nmacog,Adrenochrome,Goth,Straight,2016,0,0,1,0
Razielpanic,Adrenochrome,Goth,Straight,2013,0,0,1,0
Baby Shitters,Adrenochrome,Punk,Straight,2020,0,1,0,0
Ego Likeness,Afterhours,Unspecified,Electronic,2014,0,0,0,1
Eleven Shadows,Afterhours,Darkwave,Straight,2013,0,0,0,1
Shadowplay,Afterhours,Unspecified,Straight,2010,0,0,0,1
Supersuckers,Afterhours,Unspecified,Straight,2014,0,0,0,1
The Hall Of Souls,Afterhours,Goth,Metal,2014,0,0,0,1
Puppetxeno,Afterhours,Alternative,Acoustic,2020,0,0,1,0
Barafoetida,Alice,Goth,Electronic,2019,0,1,1,1
Obscura Nova,Alice,Electronic,Electronic,2015,0,1,1,1
Johnnie Ha Ha,Alice,Unspecified,Straight,2020,0,0,1,1
Pitch Fork,Alice,Unspecified,Straight,2016,0,0,1,1
Sonikelectrik,Alice,Rock,Straight,2022,0,0,1,1
T.N.V ( The Negative Visions ),Alice,Unspecified,Straight,2015,0,0,1,1
Ultrawest,Alice,Unspecified,Straight,2016,0,0,1,1
Urban Citizen,Alice,Electronic,Electronic,2018,0,0,1,1
Daeonia,Alice,Goth,Straight,2013,1,1,0,1
Aïboforcen,Alice,EBM,Electronic,1995,0,1,0,1
The Prophetess,Alice,Unspecified,Straight,2007,1,0,0,1
The Shroud,Alice,Unspecified,Acoustic,2007,1,0,0,1
80 Trolls,Alice,Unspecified,Straight,2016,0,0,0,1
Astraea Invade,Alice,Goth,Straight,2013,0,0,0,1
Axxon,Alice,Industrial,Industrial,2008,0,0,0,1
Cairns Chaos,Alice,Unspecified,Acoustic,2021,0,0,0,1
Cellulloide,Alice,Electronic,Electronic,2013,0,0,0,1
Clan Of Xymox,Alice,Unspecified,Straight,2012,0,0,0,1
Culpa,Alice,Unspecified,Metal,2018,0,0,0,1
Das Holz,Alice,Unspecified,Metal,2009,0,0,0,1
Dawn,Alice,Unspecified,Straight,2006,0,0,0,1
Dead Sea Surfers,Alice,Unspecified,Straight,2009,0,0,0,1
Deviate Ladies,Alice,Unspecified,Straight,1993,0,0,0,1
Double Deck Cwb,Alice,Unspecified,Straight,2019,0,0,0,1
Ghost Weller,Alice,Unspecified,Straight,2010,0,0,0,1
Giants Causeway,Alice,Unspecified,Straight,1998,0,0,0,1
Gravitational Pull,Alice,Unspecified,Straight,2021,0,0,0,1
Grey Gallows,Alice,Darkwave,Straight,2018,0,0,0,1
I.R.L.,Alice,Unspecified,Straight,2017,0,0,0,1
In Isolation,Alice,Unspecified,Straight,2018,0,0,0,1
Inovercy,Alice,Unspecified,Straight,2018,0,0,0,1
Interior Deus,Alice,Goth,Straight,2014,0,0,0,1
Janela Circular,Alice,Unspecified,Straight,2019,0,0,0,1
Kargalar,Alice,Unspecified,Straight,2012,0,0,0,1
KillZone,Alice,Unspecified,Straight,2017,0,0,0,1
Krematoria,Alice,Metal,Metal,2010,0,0,0,1
Luc chablaix,Alice,Unspecified,Acoustic,2021,0,0,0,1
Luna Sombría,Alice,Unspecified,Straight,2020,0,0,0,1
Martin Seffi,Alice,Unspecified,Acoustic,2017,0,0,0,1
Martyr Whore,Alice,Unspecified,Alternative,2022,0,0,0,1
Moving Units,Alice,Post Punk,Straight,2021,0,0,0,1
New Zero God,Alice,Unspecified,Straight,2017,0,0,0,1
patriksvlog,Alice,Unspecified,Electronic,2019,0,0,0,1
Police des Moeurs,Alice,Unspecified,Electronic,2019,0,0,0,1
PRIMITIVE KNOT,Alice,Unspecified,Straight,2020,0,0,0,1
Project Mayhem,Alice,Unspecified,Straight,2011,0,0,0,1
pureCure,Alice,Unspecified,Straight,2019,0,0,0,1
Real Under,Alice,Unspecified,Straight,2012,0,0,0,1
Roger Ambroos,Alice,Acoustic,Acoustic,2021,0,0,0,1
Sacred Hearts Music,Alice,Unspecified,Straight,2020,0,0,0,1
Screen Wipers,Alice,Unspecified,Straight,2001,0,0,0,1
Seelenblind,Alice,Unspecified,Straight,2007,0,0,0,1
Shadows of The Night,Alice,Unspecified,Straight,2007,0,0,0,1
Street Pharmacist,Alice,Electronic,Electronic,2022,0,0,0,1
Superchunk,Alice,Unspecified,Straight,2020,0,0,0,1
TENEBRAS SEX,Alice,Unspecified,Straight,2014,0,0,0,1
The Illusion Fades,Alice,Unspecified,Straight,2013,0,0,0,1
The Limit Club,Alice,Psychobilly,Straight,2008,0,0,0,1
The Marching Men,Alice,Goth,Straight,2012,0,0,0,1
The Mistress of Jersey,Alice,Goth,Straight,2021,0,0,0,1
The Poisoned Hearts,Alice,Unspecified,Straight,2017,0,0,0,1
The Ritz,Alice,Unspecified,Straight,2014,0,0,0,1
The Spider Jam,Alice,Unspecified,Alternative,2013,0,0,0,1
The Visionary Heads,Alice,Unspecified,Straight,2013,0,0,0,1
Thiago Paulice,Alice,Unspecified,Straight,2016,0,0,0,1
Tom Smith,Alice,Unspecified,Electronic,2015,0,0,0,1
ToneCandle,Alice,Unspecified,Straight,2008,0,0,0,1
WeirdWolves,Alice,Acoustic,Acoustic,2020,0,0,0,1
El Pedro Vidrio,Alice,Electronic,Electronic,2014,0,1,1,0
Ghosthole,Alice,Goth,Electronic,2015,0,1,1,0
Acid Flowers,Alice,Unspecified,Straight,2021,0,0,1,0
Artmosfear,Alice,Unspecified,Straight,2018,0,0,1,0
Atramentous,Alice,Alternative,Straight,2021,0,0,1,0
Björn,Alice,Rock,Straight,2019,0,0,1,0
Blackstone Sophomore,Alice,Goth,Straight,2015,0,0,1,0
Blumenhofen,Alice,Goth,Straight,2021,0,0,1,0
Botchandango,Alice,Goth,Straight,2012,0,0,1,0
Christian Jungblut,Alice,Goth,Straight,2019,0,0,1,0
De Bosrandsessies,Alice,Unspecified,Straight,2017,0,0,1,0
Doktor Toast,Alice,Unspecified,Electronic,2015,0,0,1,0
Hdx,Alice,Synth,Electronic,2013,0,0,1,0
Just J,Alice,Alternative,Straight,2021,0,0,1,0
Leandro Chacon,Alice,Unspecified,Electronic,2015,0,0,1,0
Neinmensch,Alice,Industrial,Industrial,2015,0,0,1,0
Nickynutz,Alice,Darkwave,Electronic,2022,0,0,1,0
Nmacog,Alice,Goth,Straight,2012,0,0,1,0
Paresis,Alice,Industrial,Electronic,2011,0,0,1,0
Peggy Yggep,Alice,Alternative,Alternative,2018,0,0,1,0
Puppet​Xeno,Alice,Alternative,Metal,2021,0,0,1,0
Simon Dreams In Violet,Alice,Rock,Straight,2020,0,0,1,0
Still Forever,Alice,Unspecified,Electronic,2019,0,0,1,0
The Way Of All Flesh,Alice,Goth,Straight,2013,0,0,1,0
UtterSpace,Alice,Synth,Electronic,2018,0,0,1,0
Croix Noire,Alice,Post Punk,Straight,2018,0,1,0,0
You Will Have Tribulation,Alice,Electronic,Electronic,2022,0,1,0,0
Liturgy Of Decay,Amphetamine Logic,Goth,Metal,2017,0,1,1,1
SKurL,Amphetamine Logic,Metal,Metal,2020,0,0,1,1
Crudeness,Amphetamine Logic,Unspecified,Straight,2000,1,0,0,1
ASP,Amphetamine Logic,Unspecified,Electronic,2010,0,0,0,1
Delphine Coma,Amphetamine Logic,Unspecified,Straight,2021,0,0,0,1
Mosquito,Amphetamine Logic,Unspecified,Straight,2018,0,0,0,1
The Mistress of Jersey,Amphetamine Logic,Unspecified,Straight,2021,0,0,0,1
Michael Vakili,Amphetamine Logic,Metal,Metal,2021,0,0,1,0
Novelty,Amphetamine Logic,Synth,Electronic,2019,0,0,1,0
Youth Against Christ,Amphetamine Logic,Metal,Darkwave,2017,0,1,0,0
Nmacog,Anaconda,Goth,Straight,2012,0,0,1,1
The Black Riders Cult,Anaconda,Goth,Metal,2016,0,0,1,1
This Vale Of Tears,Anaconda,Unspecified,Straight,2000,1,0,0,1
Random Parade,Anaconda,Unspecified,Alternative,2019,0,0,0,1
Botchandango,Anaconda,Goth,Straight,2012,0,0,1,0
Tobias Forsner/leftydrake,Arms,Unspecified,Straight,2012,0,0,1,1
Brad Salyn,Arms,Unspecified,Straight,2019,0,0,1,0
OP-3R470r,Black Planet,Electronic,Electronic,2022,0,1,0,1
Automatic Head Detonator,Black Planet,Unspecified,Industrial,2007,1,0,0,1
Arcamen,Black Planet,Unspecified,Straight,2019,0,0,0,1
David E. Williams,Black Planet,Unspecified,Straight,2015,0,0,0,1
EngeldesTodes,Black Planet,Acoustic,Acoustic,2015,0,0,0,1
European Ghost,Black Planet,Unspecified,Straight,2021,0,0,0,1
Eye of judgement,Black Planet,Unspecified,Metal,2011,0,0,0,1
Genocidio,Black Planet,Unspecified,Metal,1996,0,0,0,1
Philippe Ceuppens,Black Planet,EBM,Electronic,2016,0,0,0,1
Reptile House,Black Planet,Unspecified,Straight,2019,0,0,0,1
Roger Fingle,Black Planet,Unspecified,Straight,2021,0,0,0,1
Schwarz Weiß,Black Planet,Metal,Metal,2015,0,0,0,1
The Temple Of Mercy,Black Planet,Goth,Straight,2019,0,0,0,1
Trwoga,Black Planet,Unspecified,Metal,2019,0,0,0,1
Vladdymoose,Black Planet,Unspecified,Electronic,2016,0,0,0,1
Warren Suicide,Black Planet,Unspecified,Alternative,2011,0,0,0,1
WriteMeetRazor,Black Planet,Unspecified,Metal,2019,0,0,0,1
Merry's Funeral,Black Planet,Post Punk,Straight,2018,0,1,1,0
Ignevs Templvm,Black Planet,Rock,Straight,2017,0,0,1,0
Killtocure,Black Planet,Electronic,Electronic,2021,0,0,1,0
Python Blue,Black Planet,Synth,Electronic,2018,0,0,1,0
Ragayna,Black Planet,Metal,Metal,2020,0,0,1,0
Black Light District,Black Planet,Goth,Straight,2020,0,1,0,0
Contempt Media Collective,Black Planet,Grindcore,Grindcore,2018,0,1,0,0
Tobias Forsner/leftydrake,Black Sail,Unspecified,Straight,2021,0,0,1,1
Mr.Psychosound,Blood Money,Electronic,Electronic,2016,0,0,1,0
Nmacog,Blood Money,Goth,Straight,2014,0,0,1,0
The Last Dance,Body And Soul,Post-punk,Straight,2007,1,0,0,1
8bit Goth,Body And Soul,Electronic,Electronic,2021,0,0,0,1
Body And Soul,Body And Soul,Unspecified,Straight,2012,0,0,0,1
Crash and burn,Body And Soul,Unspecified,Straight,2019,0,0,0,1
Funhouse,Body And Soul,Unspecified,Straight,2019,0,0,0,1
La Momie,Body And Soul,Unspecified,Straight,2021,0,0,0,1
Lucifer In Heaven,Body And Soul,Unspecified,Straight,2021,0,0,0,1
Rin Whitestag,Body And Soul,Unspecified,Straight,2015,0,0,0,1
The Transparent Nudes,Body And Soul,Alternative,Straight,2021,0,0,0,1
Agent Double,Body And Soul,Unspecified,Straight,2018,0,1,1,0
Reichsfeind,Body And Soul,Unspecified,Electronic,2014,0,0,1,0
Chris Shape,Body Electric,Electronic,Electronic,2021,0,0,1,1
Canis Lupus,Body Electric,Unspecified,Straight,2012,0,0,0,1
Dark Digital,Body Electric,Electronic,Electronic,2011,0,0,0,1
Faunamok,Body Electric,Unspecified,Straight,2012,0,0,0,1
Girls Under Glass,Body Electric,Unspecified,Straight,2011,0,0,0,1
Herr Noatún,Body Electric,Unspecified,Metal,2018,0,0,0,1
Jan Doyle Band,Body Electric,Unspecified,Electronic,2021,0,0,0,1
joebar5th,Body Electric,Unspecified,Straight,2008,0,0,0,1
Lox Amarelo,Body Electric,Unspecified,Straight,2018,0,0,0,1
Moving Units,Body Electric,Unspecified,Straight,2021,0,0,0,1
Subterfuge,Body Electric,Goth,Straight,2010,0,0,0,1
talvidroidi,Body Electric,Unspecified,Electronic,2018,0,0,0,1
The Marching Men,Body Electric,Goth,Straight,2012,0,0,0,1
Then Comes Silence,Body Electric,Unspecified,Straight,2021,0,0,0,1
tooSpeed,Body Electric,Unspecified,Straight,2013,0,0,0,1
El Pedro Vidrio,Body Electric,Electronic,Electronic,2014,0,1,1,0
Voluntas,Body Electric,Post Punk,Straight,2015,0,1,1,0
Brad Salyn,Body Electric,Unspecified,Straight,2019,0,0,1,0
Johnnie Ha Ha,Body Electric,Unspecified,Straight,2021,0,0,1,0
Noatún,Body Electric,Techno,Darkwave,2018,0,0,1,0
DennyZ,Body Electric,Dark,Darkwave,2003,0,1,0,0
Brest,Burn,Unspecified,Straight,2013,0,0,0,1
Deathtrippers,Burn,Unspecified,Straight,2021,0,0,0,1
Falcon Doom,Burn,Unspecified,Straight,2016,0,0,0,1
Lucifer In Heaven,Burn,Unspecified,Straight,2021,0,0,0,1
The Vulture Man,Burn,Electronic,Electronic,2014,0,0,0,1
El Pedro Vidrio,Burn,Electronic,Electronic,2014,0,1,1,0
Blumenhofen,Burn,Goth,Straight,2021,0,0,1,0
David Algov,Burn,Goth,Straight,2019,0,0,1,0
Draw Japan,Burn,Goth,Straight,2013,0,0,1,0
Marciodet Navarro,Burn,Unspecified,Straight,2013,0,0,1,0
Nmacog,Burn,Goth,Straight,2021,0,0,1,0
Templvm,Burn,Electronic,Electronic,2020,0,0,1,0
Faith And The Muse,Bury Me Deep,Darkwave,Straight,2007,1,0,0,1
Begotten,Bury Me Deep,Unspecified,Straight,2013,0,0,0,1
Faith and disease,Bury Me Deep,Unspecified,Straight,2008,0,0,0,1
The Garden Of Delight,Bury Me Deep,Unspecified,Alternative,2010,0,0,0,1
Gabriel Husek and Tobias Forsner,But Genevieve,Unspecified,Straight,2020,0,0,0,1
Raudive,Colours,Unspecified,Straight,2022,0,0,0,1
Saibot216,Colours,Unspecified,Electronic,2015,0,0,1,0
Devoured By Flowers,Colours,Darkwave,Straight,2020,0,1,0,0
Brad Salyn,Come Together,Unspecified,Straight,2019,0,0,1,0
Markus von Eldritch,Crash And Burn,Unspecified,Straight,2019,0,0,0,1
Brad Salyn,Crash And Burn,Unspecified,Straight,2019,0,0,1,0
Landing Kraft,Detonation Boulevard,Unspecified,Straight,2022,0,0,0,1
madsmith,Detonation Boulevard,Unspecified,Straight,2016,0,0,0,1
Marek Krukowski,Detonation Boulevard,Unspecified,Metal,2014,0,0,1,0
The Lust,Doctor Jeep,Metal,Metal,2019,0,1,1,1
Arcanics,Doctor Jeep,Alternative,Straight,2015,0,0,1,1
Monstergod,Dominion,Electronic,Electronic,2008,0,1,0,1
Arcamen,Dominion,Unspecified,Straight,2019,0,0,0,1
Babylon Will Fall,Dominion,Unspecified,Straight,2020,0,0,0,1
Bilic Mob,Dominion,Unspecified,Straight,2021,0,0,0,1
dsi76,Dominion,Unspecified,Straight,2021,0,0,0,1
Graeme Young,Dominion,Acoustic,Acoustic,2017,0,0,0,1
jasonhansmc1,Dominion,Acoustic,Acoustic,2012,0,0,0,1
Livewire625,Dominion,Unspecified,Straight,2015,0,0,0,1
Machia & Velli,Dominion,Unspecified,Electronic,2018,0,0,0,1
madsmith,Dominion,Unspecified,Straight,2020,0,0,0,1
Os Desconhecidos,Dominion,Unspecified,Straight,2016,0,0,0,1
Synthsound1,Dominion,Electronic,Electronic,2011,0,0,0,1
The Insomnia Night,Dominion,Acoustic,Acoustic,2020,0,0,0,1
Zia Zeitgeist,Dominion,Unspecified,Alternative,2018,0,0,0,1
Alternate View,Dominion,Unspecified,Straight,2021,0,0,1,0
Black Horizon,Dominion,Rock,Metal,2020,0,0,1,0
Brad Salyn,Dominion,Unspecified,Straight,2019,0,0,1,0
Callivan Furts,Dominion,Hip Hop,Hip Hop,2020,0,0,1,0
Gom Pilote,Dominion,Alternative,Straight,2018,0,0,1,0
Information Society,Dominion,Synth,Electronic,2016,0,0,1,0
Jack,Dominion,Unspecified,Straight,2017,0,0,1,0
Junior Kain,Dominion,Unspecified,Electronic,2019,0,0,1,0
Mighty,Dominion,Electronic,Electronic,2018,0,0,1,0
Nemius,Dominion,Alternative,Straight,2017,0,0,1,0
Python Blue,Dominion,Darkwave,Straight,2021,0,0,1,0
RADDAH,Dominion,Electronic,Electronic,2021,0,0,1,0
This Second Skin,Dominion,Unspecified,Straight,2016,0,0,1,0
Chiptune Planet,Driven Like The Snow,Electronic,Electronic,2015,0,0,0,1
confusedstill,Driven Like The Snow,Unspecified,Straight,2010,0,0,0,1
Cryocon,Driven Like The Snow,Electronic,Electronic,2016,0,0,0,1
cwb,Driven Like The Snow,Unspecified,Straight,2017,0,0,0,1
CZarny Piotr,Driven Like The Snow,Unspecified,Straight,2010,0,0,0,1
Floodlands,Driven Like The Snow,Goth,Straight,2017,0,0,0,1
Magdariel Sirannon,Driven Like The Snow,Unspecified,Straight,2019,0,0,0,1
STRANGER DREAMS & MANUFACTURA,Driven Like The Snow,Unspecified,Straight,2021,0,0,0,1
Will Meyer,Driven Like The Snow,Acoustic,Acoustic,2017,0,0,0,1
Botchandango,Driven Like The Snow,Goth,Straight,2012,0,0,1,0
Meatgrinder,Driven Like The Snow,Rock,Metal,2022,0,0,1,0
Mystery Girl,Driven Like The Snow,Darkwave,Darkwave,2018,0,0,1,0
Nmacog,Driven Like The Snow,Goth,Straight,2012,0,0,1,0
Open Wound,Driven Like The Snow,Electronic,Electronic,2020,0,0,1,0
Paradise Disowned,Driven Like The Snow,Unspecified,Electronic,2021,0,0,1,0
VegaClaw,Driven Like The Snow,Unspecified,Electronic,2021,0,0,1,0
Rat Diatribe,Driven Like The Snow,Ambient,Electronic,2019,0,1,0,0
Amorphous,"Finland Red, Egypt White",Electronic,Straight,2021,0,0,1,1
Dr8Ball,"Finland Red, Egypt White",Electronic,Hip Hop,2014,0,0,1,0
Ancient Drive,First And Last And Always,Metal,Metal,2000,0,0,1,1
Never Mind,First And Last And Always,Metal,Straight,1997,0,0,1,1
Kitsch a la Cova,First And Last And Always,Alternative,Straight,2015,0,1,0,1
Still Patient?,First And Last And Always,Goth,Straight,2000,1,0,0,1
The Prophetess,First And Last And Always,Unspecified,Straight,2014,1,0,0,1
8bit Goth,First And Last And Always,Electronic,Electronic,2020,0,0,0,1
Brandon Blair Music,First And Last And Always,Folk,Acoustic,2019,0,0,0,1
Cesar Broothaerts,First And Last And Always,Unspecified,Electronic,2010,0,0,0,1
Darkside Cowboys,First And Last And Always,Unspecified,Metal,2014,0,0,0,1
Dawn Of Oblivion,First And Last And Always,Goth,Straight,2014,0,0,0,1
Dusk,First And Last And Always,Unspecified,Straight,2017,0,0,0,1
Ending the Vicious Cycle,First And Last And Always,Unspecified,Straight,2012,0,0,0,1
Feotus,First And Last And Always,Unspecified,Alternative,2011,0,0,0,1
Gas Attack,First And Last And Always,Unspecified,Metal,2010,0,0,0,1
Lilly E. Gray,First And Last And Always,Unspecified,Alternative,2021,0,0,0,1
Oleg Menshikov,First And Last And Always,Unspecified,Straight,2015,0,0,0,1
The Marching Men,First And Last And Always,Goth,Straight,2011,0,0,0,1
The Transparent Nudes,First And Last And Always,Unspecified,Straight,2021,0,0,0,1
D1433,First And Last And Always,Goth,Metal,2012,0,0,1,0
Kamora_Prod,First And Last And Always,Synth,Electronic,2014,0,0,1,0
Mac Mccaughan,First And Last And Always,Unspecified,Acoustic,2015,0,0,1,0
PROJECT ZERO,First And Last And Always,Darkwave,Darkwave,2016,0,0,1,0
Robert Godfrey,First And Last And Always,Goth,Straight,2019,0,0,1,0
Süt,First And Last And Always,Industrial,Industrial,2016,0,0,1,0
Tobias Forsner/Iamthelastdinosaur,First And Last And Always,Alternative,Acoustic,2020,0,0,1,0
Toby A. Rider,First And Last And Always,Goth,Straight,2013,0,0,1,0
Ufx Project,First And Last And Always,Synth,Electronic,2014,0,0,1,0
Whispers In The Shadow,Fix,Darkwave,Darkwave,2000,1,0,0,1
HøRD/Volcan,Fix,Unspecified,Straight,2013,0,0,0,1
Il Giardino Violetto,Fix,Unspecified,Metal,2017,0,0,0,1
Project Shadowkind,Fix,LoFi,LoFi,2017,0,0,0,1
T.N.V ( The Negative Visions ),Fix,Unspecified,Straight,1992,0,0,0,1
Botchandango,Fix,Goth,Straight,2012,0,0,1,0
Fey,Fix,Black Metal,Metal,2015,0,0,1,0
Nmacog,Fix,Goth,Straight,2012,0,0,1,0
The Sons Of Carbon,Fix,Alternative,Straight,2018,0,0,1,0
Música das Cinzas,Fix,Dark,Darkwave,2021,0,1,0,0
Maman Küsters,Flood I,Unspecified,Straight,2021,0,1,0,1
SEBASTIEN FAITS DIVERS & HIV+,Flood II,Unspecified,Straight,2021,0,1,0,1
Nmacog,Flood II,Goth,Straight,2017,0,0,1,0
On The Floor,Floorshow,Goth,Darkwave,2000,1,0,1,1
Sonikelectrik,Floorshow,Rock,Straight,2021,0,0,1,1
Cadaverous Condition,Floorshow,Doom Metal,Straight,2021,1,0,0,1
CZarny Piotr,Floorshow,Unspecified,Straight,2019,0,0,0,1
GENETIC VORTEX,Floorshow,Unspecified,Straight,2009,0,0,0,1
Headtrip Inc,Floorshow,Unspecified,Industrial,2019,0,0,0,1
KARA CEPHE,Floorshow,Unspecified,Straight,2014,0,0,0,1
TRS,Floorshow,Unspecified,Straight,2016,0,0,0,1
Zombie Thirteen,Floorshow,Unspecified,Straight,2021,0,0,0,1
Anandamite,Floorshow,Trance,Electronic,2020,0,0,1,0
Kara Cephe / Black Front,Floorshow,Rock,Straight,2015,0,0,1,0
Paranoid Android Band,Floorshow,Darkwave,Darkwave,2013,0,0,1,0
S.G.C,Floorshow,Rock,Straight,2017,0,0,1,0
Jan Doyle Band,Giving Ground,Electronic,Straight,2017,0,0,1,1
Confrontational,Giving Ground,Unspecified,Straight,2015,0,0,1,0
Reptyle,Giving Ground,Unspecified,Straight,2000,1,0,0,1
A WEDDING ANNIVERSARY,Giving Ground,Unspecified,Straight,2021,0,0,0,1
Arcamen,Giving Ground,Unspecified,Straight,2019,0,0,0,1
Dollysplit,Giving Ground,Unspecified,Acoustic,2013,0,0,0,1
Floodlands,Giving Ground,Goth,Straight,2017,0,0,0,1
Lost,Giving Ground,Unspecified,Alternative,2009,0,0,0,1
TRS,Giving Ground,Unspecified,Alternative,2015,0,0,0,1
Artmosfear,Giving Ground,Goth,Straight,2018,0,0,1,0
Letranger,Giving Ground,Electronic,Electronic,2017,0,0,1,0
S.G.C,Giving Ground,Rock,Alternative,2016,0,0,1,0
Toby's Red Sock,Giving Ground,Unspecified,Alternative,2016,0,0,1,0
Götterdämmerung,Good Things,Goth,Straight,2020,0,1,0,1
